iteration	\log_{10}(R_{\rho})
924	-5.1569427684
925	-5.1573671913
926	-5.1578159982
927	-5.1582915787
928	-5.1587955785
929	-5.1593284994
930	-5.1598893832
931	-5.1604756106
932	-5.1610828606
933	-5.1617052302
934	-5.1623355086
935	-5.1629655803
936	-5.1635869498
937	-5.1641913215
938	-5.1647711569
939	-5.1653201873
940	-5.1658338467
941	-5.1663095484
942	-5.1667467999
943	-5.1671471497
944	-5.1675139664
945	-5.1678520835
946	-5.168167343
947	-5.1684660909
948	-5.1687546742
949	-5.169038982
950	-5.1693240792
951	-5.1696139538
952	-5.1699114012
953	-5.1702180389
954	-5.1705344481
955	-5.1708604004
956	-5.1711951838
957	-5.1715379123
958	-5.1718878391
959	-5.1722446156
960	-5.172608485
961	-5.1729803473
962	-5.173361728
963	-5.1737546374
964	-5.1741613411
965	-5.1745840842
966	-5.1750247576
967	-5.1754846098
968	-5.1759639634
969	-5.1764620345
970	-5.1769768432
971	-5.1775052321
972	-5.1780430001
973	-5.1785851593
974	-5.1791262311
975	-5.1796606191
976	-5.1801829956
977	-5.1806886684
978	-5.1811738936
979	-5.1816361056
980	-5.182074038
981	-5.1824877322
982	-5.1828784373
983	-5.1832484097
984	-5.1836006421
985	-5.1839385519
986	-5.1842656622
987	-5.1845853088
988	-5.1849004041
989	-5.1852132754
990	-5.1855255936
991	-5.1858383936
992	-5.1861521782
993	-5.1864670865
994	-5.1867831039
995	-5.1871002894
996	-5.1874189845
997	-5.1877399643
998	-5.1880645416
999	-5.1883945788
1000	-5.1887324163
1001	-5.1890807247
1002	-5.1894422864
1003	-5.18981974
1004	-5.1902153064
1005	-5.1906305273
1006	-5.1910660468
1007	-5.1915214541
1008	-5.1919952264
1009	-5.1924847415
1010	-5.1929863943
1011	-5.1934958105
1012	-5.194008102
1013	-5.1945181766
1014	-5.1950210601
1015	-5.195512215
1016	-5.1959877989
1017	-5.1964448659
1018	-5.1968814924
1019	-5.1972968063
1020	-5.1976909345
1021	-5.198064873
1022	-5.1984203034
1023	-5.1987593769
1024	-5.1990844913
1025	-5.1993980841
1026	-5.199702464
1027	-5.199999702
1028	-5.2002915744
1029	-5.2005795734
1030	-5.2008649722
1031	-5.2011489339
1032	-5.2014326333
1033	-5.2017173781
1034	-5.2020047159
1035	-5.2022965005
1036	-5.2025949013
1037	-5.202902354
1038	-5.2032214546
1039	-5.2035548026
1040	-5.2039048062
1041	-5.204273473
1042	-5.2046622037
1043	-5.2050716104
1044	-5.2055013854
1045	-5.2059502314
1046	-5.2064158644
1047	-5.2068950933
1048	-5.2073839693
1049	-5.2078779916
1050	-5.2083723692
1051	-5.20886229
1052	-5.2093431927
1053	-5.2098110151
1054	-5.2102624105
1055	-5.2106948853
1056	-5.2111068778
1057	-5.2114977635
1058	-5.2118677945
1059	-5.2122179857
1060	-5.2125499614
1061	-5.2128657811
1062	-5.213167767
1063	-5.2134583447
1064	-5.2137399184
1065	-5.2140147835
1066	-5.2142850824
1067	-5.2145527986
1068	-5.2148197938
1069	-5.215087858
1070	-5.2153587674
1071	-5.2156343374
1072	-5.2159164609
1073	-5.2162071083
1074	-5.2165082964
1075	-5.2168220189
1076	-5.2171501465
1077	-5.2174942997
1078	-5.2178557102
1079	-5.2182350869
1080	-5.2186325012
1081	-5.2190472991
1082	-5.219478069
1083	-5.2199226451
1084	-5.2203781736
1085	-5.2208412311
1086	-5.2213079886
1087	-5.221774401
1088	-5.2222364198
1089	-5.2226902026
1090	-5.2231323114
1091	-5.2235598775
1092	-5.2239707273
1093	-5.2243634471
1094	-5.2247374189
1095	-5.2250927711
1096	-5.225430312
1097	-5.2257514157
1098	-5.226057895
1099	-5.2263518616
1100	-5.2266355922
1101	-5.2269114218
1102	-5.2271816477
1103	-5.2274484667
1104	-5.2277139422
1105	-5.2279799919
1106	-5.2282484117
1107	-5.228520887
1108	-5.2287990181
1109	-5.2290843351
1110	-5.2293783053
1111	-5.2296823137
1112	-5.2299976282
1113	-5.2303253445
1114	-5.2306663179
1115	-5.2310210876
1116	-5.2313898031
1117	-5.2317721608
1118	-5.2321673596
1119	-5.2325740842
1120	-5.2329905211
1121	-5.2334144073
1122	-5.2338431146
1123	-5.2342737589
1124	-5.2347033313
1125	-5.2351288417
1126	-5.2355474591
1127	-5.235956655
1128	-5.2363543176
1129	-5.2367388353
1130	-5.2371091534
1131	-5.2374647949
1132	-5.2378058463
1133	-5.2381329101
1134	-5.2384470318
1135	-5.2387496139
1136	-5.2390423176
1137	-5.2393269642
1138	-5.2396054476
1139	-5.239879658
1140	-5.2401514238
1141	-5.2404224723
1142	-5.2406944055
1143	-5.2409686926
1144	-5.2412466722
1145	-5.2415295615
1146	-5.2418184627
1147	-5.2421143759
1148	-5.2424181852
1149	-5.2427306482
1150	-5.2430523698
1151	-5.2433837724
1152	-5.2437250594
1153	-5.2440761781
1154	-5.2444367884
1155	-5.2448062395
1156	-5.2451835635
1157	-5.2455674797
1158	-5.2459564371
1159	-5.2463486508
1160	-5.2467421728
1161	-5.2471349706
1162	-5.247525014
1163	-5.2479103652
1164	-5.2482892654
1165	-5.2486602111
1166	-5.2490220138
1167	-5.2493738541
1168	-5.2497152894
1169	-5.2500462589
1170	-5.2503670609
1171	-5.250678315
1172	-5.2509809095
1173	-5.2512759412
1174	-5.2515646534
1175	-5.2518483727
1176	-5.2521284549
1177	-5.2524062375
1178	-5.2526830044
1179	-5.2529599607
1180	-5.253238218
1181	-5.2535187889
1182	-5.2538025857
1183	-5.2540904232
1184	-5.2543830188
1185	-5.2546809986
1186	-5.2549848897
1187	-5.2552951133
1188	-5.2556119652
1189	-5.2559356038
1190	-5.2562660278
1191	-5.2566030603
1192	-5.2569463334
1193	-5.2572952789
1194	-5.2576491315
1195	-5.2580069395
1196	-5.2583675904
1197	-5.2587298444
1198	-5.2590923767
1199	-5.259453833
1200	-5.2598128796
1201	-5.2601682599
1202	-5.2605188466
1203	-5.2608636875
1204	-5.2612020433
1205	-5.2615334099
1206	-5.261857529
1207	-5.2621743875
1208	-5.2624842022
1209	-5.2627873969
1210	-5.263084569
1211	-5.263376453
1212	-5.263663881
1213	-5.2639477456
1214	-5.2642289615
1215	-5.2645084462
1216	-5.2647870906
1217	-5.2650657419
1218	-5.2653451912
1219	-5.2656261723
1220	-5.2659093558
1221	-5.2661953478
1222	-5.2664846898
1223	-5.2667778575
1224	-5.2670752527
1225	-5.2673771964
1226	-5.2676839177
1227	-5.2679955431
1228	-5.2683120814
1229	-5.2686334122
1230	-5.2689592772
1231	-5.2692892736
1232	-5.2696228583
1233	-5.2699593597
1234	-5.2702979881
1235	-5.2706378616
1236	-5.2709780364
1237	-5.2713175409
1238	-5.2716554144
1239	-5.2719907437
1240	-5.2723226991
1241	-5.2726505642
1242	-5.2729737672
1243	-5.2732918997
1244	-5.2736047192
1245	-5.2739121529
1246	-5.2742142923
1247	-5.2745113805
1248	-5.274803789
1249	-5.2750919975
1250	-5.2753765688
1251	-5.2756581238
1252	-5.2759373187
1253	-5.2762148263
1254	-5.276491318
1255	-5.2767674507
1256	-5.2770438573
1257	-5.277321139
1258	-5.2775998617
1259	-5.2778805502
1260	-5.278163683
1261	-5.278449689
1262	-5.2787389399
1263	-5.2790317368
1264	-5.279328312
1265	-5.2796288047
1266	-5.2799332552
1267	-5.2802415939
1268	-5.2805536389
1269	-5.2808690889
1270	-5.2811875263
1271	-5.2815084251
1272	-5.2818311641
1273	-5.2821550459
1274	-5.2824793199
1275	-5.2828032095
1276	-5.2831259411
1277	-5.2834467725
1278	-5.2837650225
1279	-5.2840800951
1280	-5.2843914996
1281	-5.2846988672
1282	-5.2850019548
1283	-5.2853006585
1284	-5.2855950028
1285	-5.2858851327
1286	-5.2861713004
1287	-5.286453851
1288	-5.2867332081
1289	-5.2870098527
1290	-5.2872843073
1291	-5.2875571208
1292	-5.287828854
1293	-5.288100069
1294	-5.2883713223
1295	-5.2886431518
1296	-5.2889160717
1297	-5.2891905654
1298	-5.2894670784
1299	-5.2897460104
1300	-5.2900277069
1301	-5.2903124491
1302	-5.2906004456
1303	-5.2908918212
1304	-5.2911866077
1305	-5.2914847384
1306	-5.2917860443
1307	-5.2920902524
1308	-5.2923969898
1309	-5.2927057922
1310	-5.2930161165
1311	-5.293327358
1312	-5.2936388665
1313	-5.2939499828
1314	-5.2942600458
1315	-5.2945684243
1316	-5.2948745464
1317	-5.2951779086
1318	-5.295478096
1319	-5.2957747945
1320	-5.296067799
1321	-5.2963570156
1322	-5.2966424584
1323	-5.296924245
1324	-5.2972025856
1325	-5.2974777719
1326	-5.2977501654
1327	-5.2980201815
1328	-5.2982882768
1329	-5.2985549376
1330	-5.2988206661
1331	-5.29908597
1332	-5.2993513532
1333	-5.2996173056
1334	-5.2998842949
1335	-5.3001527575
1336	-5.3004230929
1337	-5.3006956521
1338	-5.3009707293
1339	-5.3012485502
1340	-5.301529269
1341	-5.3018129594
1342	-5.3020996088
1343	-5.302389115
1344	-5.3026812817
1345	-5.3029758256
1346	-5.3032723799
1347	-5.303570507
1348	-5.3038697083
1349	-5.304169442
1350	-5.3044691412
1351	-5.3047682335
1352	-5.3050661609
1353	-5.3053623998
1354	-5.3056564781
1355	-5.3059479869
1356	-5.3062366052
1357	-5.3065220997
1358	-5.3068043282
1359	-5.3070832442
1360	-5.3073588927
1361	-5.3076314055
1362	-5.3079009933
1363	-5.3081679357
1364	-5.3084325704
1365	-5.3086952817
1366	-5.3089564884
